,COUNTA of Activity ID,Platform,,,,,,,,
,Main Brand,amazon_prime,instagram,netflix,standalone,tiktok,youtube_shorts,Grand Total,,
,イケア,,,,4,,,4,standalone,JP
,い・ろ・は・す,,,,4,,,4,standalone,JP
,アップル,,,,4,,,4,standalone,JP
,한국타이어,,,,4,,,4,standalone,JP
,토레타!,,,,4,,,4,standalone,JP
,크러쉬,,,,4,,,4,standalone,KR
,코카콜라,,,,4,,,4,standalone,KR
,컴포트잇츠이너프,,,,4,,,4,standalone,KR
,에어비앤비,,,,4,,,4,standalone,KR
,애플 아이폰,,,,4,,,4,standalone,KR
,아이오닉,,,,4,,,4,standalone,KR
,설화수,,,,4,,,4,standalone,KR
,샤넬,,,,4,,,4,standalone,KR
,삼성 비스포크,,,,4,,,4,standalone,KR
,삼성 갤럭시북,,,,4,,,4,standalone,KR
,삼성 갤럭시,,,,4,,,4,standalone,KR
,블랙야크,,,,4,,,4,standalone,KR
,메이플스토리,,,,4,,,4,standalone,KR
,맥심,,,,4,,,4,standalone,KR
,마비노기,,,,4,,,4,standalone,KR
,로보락,,,,4,,,4,standalone,KR
,대한항공,,,,4,,,4,standalone,KR
,나혼자만 레벨업: 어라이즈,,,,4,,,4,standalone,KR
,나이키 조던,,,,4,,,4,standalone,KR
,기아 타스만,,,,4,,,4,standalone,KR
,기아 스포티지,,,,4,,,4,standalone,KR
,Youi,,,,4,,,4,standalone,KR
,Woolworths,,,,4,,,4,standalone,KR
,Viking Cruises,,,,4,,,4,standalone,AU
,USJ,,,,4,,,4,standalone,AU
,Tylenol,,3,,1,,,4,standalone,"AU, NZ"
,Türkiye,,,,4,,,4,standalone,JP
,Telstra,,,,4,,,4,"instagram, standalone",US
,Sleeping Duck,,,,4,,,4,standalone,"JP, US, FR"
,Škoda,,,,4,,,4,standalone,AU
,Red Rooster,,,,4,,,4,standalone,AU
,Red Bull,,,,4,,,4,standalone,IT
,Qantas,,,,4,,,4,standalone,AU
,Peugeot,,,,4,,,4,standalone,AU
,Omegor,,,,4,,,4,standalone,AU
,Old Spice,,,,1,3,,4,standalone,ES
,NOL 놀,,,,4,,,4,standalone,IT
,Mitsui & Co.,,,,4,,,4,"tiktok, standalone",US
,Mcdonald’s,,,,4,,,4,standalone,KR
,La Mer,,,,2,2,,4,standalone,"DE, FR"
,KFC,,,,4,,,4,standalone,"FR, ES"
,Keurig,,,,1,3,,4,"tiktok, standalone","GB, US"
,K2,,,,4,,,4,standalone,"IT, ES"
,Jo Malone London,,,,2,2,,4,"tiktok, standalone",US
,IKEA,,,,4,,,4,standalone,KR
,Hungry Jack's,,,,4,,,4,"tiktok, standalone","GB, US"
,Health-Ade,,,,1,3,,4,standalone,AU
,Guzman Y Gomez,,,,4,,,4,standalone,AU
,Google Pay,,,,1,3,,4,"tiktok, standalone",US
,Giorgio Armani,,,,4,,,4,standalone,AU
,Forty Winks,,,,4,,,4,"tiktok, standalone",GB
,Ford,,,,3,1,,4,standalone,AU
,FNBO,,,,4,,,4,standalone,AU
,First Aid Beauty,,,,1,3,,4,"tiktok, standalone","GB, IT"
,Fiji,,,,4,,,4,standalone,US
,Ferrero,,,,4,,,4,"tiktok, standalone",US
,f’real,,,,1,3,,4,standalone,"US, AU"
,Dyson,,,,4,,,4,standalone,IT
,Domino’s Pizza,,,,4,,,4,"tiktok, standalone",US
,Dior Beauty,,,,4,,,4,standalone,ES
,DHL,,,,4,,,4,standalone,GB
,De Bortoli Wines,,,,4,,,4,standalone,AU
,Danette,,,,4,,,4,standalone,"US, ZA"
,CoorDown,,,,2,1,1,4,standalone,AU
,Commonwealth Bank,,,,4,,,4,standalone,FR
,Command,,,,4,,,4,"youtube_shorts, standalone, tiktok",US
,Coke Zero,,,,4,,,4,standalone,AU
,Coca-Cola,,,,4,,,4,standalone,AU
,Citroën,,,,4,,,4,standalone,AU
,Chanel,,,,4,,,4,standalone,IT
,Cash App,,,,4,,,4,standalone,ES
,Carnival Cruises,,,,4,,,4,standalone,AU
,Burger King,,,,4,,,4,standalone,US
,BURBERRY,,,,4,,,4,standalone,AU
,Booking.com,,,,4,,,4,standalone,ES
,Bendigo Bank,,,,4,,,4,standalone,GB
,ASOS,,,,1,3,,4,standalone,AU
,Amnesty International,,1,,2,1,,4,standalone,AU
,amaysim,,,,4,,,4,"tiktok, standalone",GB
,Air New Zealand,,,,4,,,4,"tiktok, standalone, instagram",GB
,State Farm,,2,,1,,,3,standalone,AU
,Rogaine,,,,1,2,,3,standalone,AU
,Pull&Bear,,,,3,,,3,"instagram, standalone",US
,Pets at Home,,,,3,,,3,"tiktok, standalone",US
,OnePlus,,2,,1,,,3,standalone,FR
,Noble Panacea,,2,,1,,,3,standalone,GB
,MINI,,,,3,,,3,"instagram, standalone",US
,Mahou,,,,3,,,3,"instagram, standalone",US
,Levi’s,,,,3,,,3,standalone,GB
,KitKat,,,,3,,,3,standalone,ES
,Jean Paul Gaultier,,,,3,,,3,standalone,DE
,HSBC,,,,3,,,3,standalone,DE
,ho. Mobile,,,,3,,,3,standalone,DE
,Global Action Plan,,1,,2,,,3,standalone,"US, AU"
,Dermalogica,,,,1,2,,3,standalone,IT
,Bombay Sapphire,,,,3,,,3,"standalone, instagram",GB
